Site ID,Governing LHN,Geographical LHN,Site Name,Address,Suburb,Notes,Search Address,Latitude,Longitude
210,SAAS,YNLHN,SA Ambulance - Yorketown,Lot 33 Weaners Street,YORKETOWN,,"SA Ambulance - Yorketown, Lot 33 Weaners Street, YORKETOWN",-35.02127501,137.6067393
211,EFNLHN,EFNLHN,Ceduna District Health Services,3 Eyre Highway,CEDUNA,,"Ceduna District Health Services, 3 Eyre Highway, CEDUNA",-32.11942402,133.6721571
212,EFNLHN,EFNLHN,Cleve District Hospital and Aged Care,North Terrace,CLEVE,,"Cleve District Hospital and Aged Care, North Terrace, CLEVE",-33.69887884,136.4941191
213,EFNLHN,EFNLHN,Coober Pedy Hospital,89 Hospital Road,COOBER PEDY,,"Coober Pedy Hospital, 89 Hospital Road, COOBER PEDY",-29.00492747,134.7622163
214,EFNLHN,EFNLHN,Cowell Hospital,17 South Terrace,COWELL,,"Cowell Hospital, 17 South Terrace, COWELL",-33.68538826,136.9216141
215,EFNLHN,EFNLHN,Cummins and District Memorial Hospital,21 Tumby Bay Road,CUMMINS,,"Cummins and District Memorial Hospital, 21 Tumby Bay Road, CUMMINS",-34.26421205,135.7331757
216,EFNLHN,EFNLHN,Elliston Hospital and Pines Hostel,Memorial Drive,ELLISTON,,"Elliston Hospital and Pines Hostel, Memorial Drive, ELLISTON",-33.64777439,134.8924681
217,EFNLHN,EFNLHN,Kimba District Hospital,13-15 Martin Terrace,KIMBA,,"Kimba District Hospital, 13-15 Martin Terrace, KIMBA",-33.14347172,136.416206
218,EFNLHN,EFNLHN,Pt Lincoln Health and Hospital Service,Oxford Terrace,PORT LINCOLN,,"Pt Lincoln Health and Hospital Service, Oxford Terrace, PORT LINCOLN",-34.7240524,135.8501807
219,EFNLHN,EFNLHN,Streaky Bay Hospital,1 Flinders Drive,STREAKY BAY,,"Streaky Bay Hospital, 1 Flinders Drive, STREAKY BAY",-32.79288729,134.2172957
220,EFNLHN,EFNLHN,Tumby Bay Hospital,8 Esplanade,TUMBY BAY,,"Tumby Bay Hospital, 8 Esplanade, TUMBY BAY",-34.37236422,136.104064
221,EFNLHN,EFNLHN,Wudinna Hospital,16-24 Richards Avenue,WUDINNA,,"Wudinna Hospital, 16-24 Richards Avenue, WUDINNA",-33.0503938,135.4671227
